,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,full_location
190,LOC_2,Mogaippar - Eri Scheme,Naturals Salon,"AGP Saantham Building, 4/750, 4th Block, Mogappair West, Ambattur Industrial Estate, Chennai, Tamil Nadu 600037, India",13.0817156,80.1677447,4.5,1370,ChIJEVxstt9jUjoRmQFQklMrCpM,https://www.google.com/maps/place/?q=place_id:ChIJEVxstt9jUjoRmQFQklMrCpM,Mogaippar - Eri Scheme Naturals Salon
192,LOC_4,Mogaippar - Eri Scheme,Naturals Salon,"No: 113, Vellalar St, next to Sbi Bank, Paneer Nagar, Mogappair, Chennai, Tamil Nadu 600037, India",13.0851487,80.1747146,4.4,580,ChIJJ-9f2-RjUjoRRvuFHHJ9c0A,https://www.google.com/maps/place/?q=place_id:ChIJJ-9f2-RjUjoRRvuFHHJ9c0A,Mogaippar - Eri Scheme Naturals Salon
199,LOC_1,Moulivakkam,Naturals Salon Moulivakkam,"5/214, Kundrathur Main Rd, Rajiv Gandhi Nagar, Moulivakkam, Chennai, Tamil Nadu 600116, India",13.0191528,80.1424103,4.6,477,ChIJYZa1DVhgUjoRcBiCa4pApyE,https://www.google.com/maps/place/?q=place_id:ChIJYZa1DVhgUjoRcBiCa4pApyE,Moulivakkam Naturals Salon Moulivakkam
200,LOC_2,Moulivakkam,Naturals Salon,"No 1, 1st Floor, Thirupurasundari Avenue, Mugalivakkam Main Rd, Subbiah Nagar, Thiripurasundari Avenue, Mugalivakkam, Chennai, Tamil Nadu 600125, India",13.0217831,80.1531722,4.9,975,ChIJXfh6HY9hUjoREBOBIWU-0GY,https://www.google.com/maps/place/?q=place_id:ChIJXfh6HY9hUjoREBOBIWU-0GY,Moulivakkam Naturals Salon
213,LOC_3,Mudichur Manimangalam,Naturals Salon,"1st Floor, Nawab Habibulla Nagar, Plot No 26, Mudichur Rd, next to City Union Bank, Manimangalam, Chennai, Tamil Nadu 600048, India",12.9135642,80.0709372,4.9,798,ChIJIZ-Imdv1UjoRZmD64mN4OWo,https://www.google.com/maps/place/?q=place_id:ChIJIZ-Imdv1UjoRZmD64mN4OWo,Mudichur Manimangalam Naturals Salon
223,LOC_1,Mylapore,Naturals Signature Salon,"2nd Floor, 36, Dr Radha Krishnan Salai, Sullivan Garden, Mylapore, Chennai, Tamil Nadu 600004, India",13.0443041,80.2666764,4.6,1286,ChIJIc_tNi5mUjoRx4Cp4l1o9RI,https://www.google.com/maps/place/?q=place_id:ChIJIc_tNi5mUjoRx4Cp4l1o9RI,Mylapore Naturals Signature Salon
224,LOC_2,Mylapore,Naturals Salon,"28/10, Venkataswamy St, opposite Apollo Pharmacy, Pattinapakkam, Santhome, Mylapore, Chennai, Tamil Nadu 600004, India",13.030194,80.275652,4.8,430,ChIJ05jy-4dnUjoR8hWlWTOTQok,https://www.google.com/maps/place/?q=place_id:ChIJ05jy-4dnUjoR8hWlWTOTQok,Mylapore Naturals Salon
225,LOC_3,Mylapore,Naturals Salon,"SN 112/220, 1st Flr, Ramakrishna Mutt Rd Tiruchanur Tiruchanur, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004, India",13.0322273,80.2671606,4.8,207,ChIJYZbz09JnUjoR_64SC_bUiFM,https://www.google.com/maps/place/?q=place_id:ChIJYZbz09JnUjoR_64SC_bUiFM,Mylapore Naturals Salon
226,LOC_1,Nanganallur,Naturals Salon,"No B82, 2nd Floor, Jagadamba Complex, M.G.R. Rd, near Vetrivel Theater, Hindu Colony, Nanganallur, Chennai, Tamil Nadu 600061, India",12.9767394,80.1833296,4.8,2254,ChIJ76BAHwZeUjoRZfig6Gu7jYI,https://www.google.com/maps/place/?q=place_id:ChIJ76BAHwZeUjoRZfig6Gu7jYI,Nanganallur Naturals Salon
230,LOC_1,Neelankarai,Naturals Salon & Spa Neelankarai,"2nd floor, pnb & yes bank, Manjula Complex, 14, SH 49, above to, Saraswathy Nagar North, Neelankarai, Chennai, Tamil Nadu 600041, India",12.9520182,80.2551613,4.4,344,ChIJs9Z-4CFdUjoRS4zx23zLqGo,https://www.google.com/maps/place/?q=place_id:ChIJs9Z-4CFdUjoRS4zx23zLqGo,Neelankarai Naturals Salon & Spa Neelankarai
231,LOC_1,Nellikuppam,Naturals Salon,"No. 1, MSM Nagar, Nellikuppam Rd, above Sriram Supermarket, Pankaja Ammal Nagar, Nandhivaram, Guduvancheri, Tamil Nadu 603202, India",12.8321819,80.0705337,4.8,2286,ChIJUeZzJcP3UjoRPBeWGO4ikRY,https://www.google.com/maps/place/?q=place_id:ChIJUeZzJcP3UjoRPBeWGO4ikRY,Nellikuppam Naturals Salon
233,LOC_1,Nookampalayam,Naturals Signature Salon,"1, Sristi Arcade, Sristi First Avenue, Cheran Nagar, Perumbakkam, Chennai, Tamil Nadu 600100, India",12.8962646,80.19810849999999,4.9,424,ChIJ5dJscNpbUjoRxlwAVwOEggE,https://www.google.com/maps/place/?q=place_id:ChIJ5dJscNpbUjoRxlwAVwOEggE,Nookampalayam Naturals Signature Salon
235,LOC_1,Old Mahabalipuram Road Karapakkam,Naturals Salon & Spa Siruseri,"Opposite Hiranandani Apts 149/8, Ambedkar street, Egatoor, Siruseri, Chennai, Tamil Nadu 603103, India",12.8333976,80.22861619999999,4.6,1769,ChIJlwqu3R9bUjoRFpJx3T3Bho8,https://www.google.com/maps/place/?q=place_id:ChIJlwqu3R9bUjoRFpJx3T3Bho8,Old Mahabalipuram Road Karapakkam Naturals Salon & Spa Siruseri
236,LOC_2,Old Mahabalipuram Road Karapakkam,Naturals Salon,"No 2/62, New Pushpa Navin Complex, OMR Rd, above Shree Gupta Bhavan, Navalur, Chennai, Tamil Nadu 603103, India",12.8475503,80.226959,4.7,3443,ChIJp4gXqlZaUjoR0qOHmTRnuOg,https://www.google.com/maps/place/?q=place_id:ChIJp4gXqlZaUjoR0qOHmTRnuOg,Old Mahabalipuram Road Karapakkam Naturals Salon
237,LOC_3,Old Mahabalipuram Road Karapakkam,Naturals Signature Salon,"LGF, Marina Mall, 14 & 15, 13, Old Mahabalipuram Road, Egattur, Tamil Nadu 603103, India",12.8357351,80.2289208,4.7,174,ChIJV2Bk4khbUjoRZdA8Dx4nzaE,https://www.google.com/maps/place/?q=place_id:ChIJV2Bk4khbUjoRZdA8Dx4nzaE,Old Mahabalipuram Road Karapakkam Naturals Signature Salon
238,LOC_4,Old Mahabalipuram Road Karapakkam,Naturals Salon,"PTC, Bus Stop, 4 690, Old Mahabalipuram Road, Chandrasekhar Avenue, Chennai, Thoraipakkam, Tamil Nadu 600097, India",12.9336606,80.2325268,4.4,1548,ChIJu2pBXv5cUjoRJ71srztNebM,https://www.google.com/maps/place/?q=place_id:ChIJu2pBXv5cUjoRJ71srztNebM,Old Mahabalipuram Road Karapakkam Naturals Salon
239,LOC_5,Old Mahabalipuram Road Karapakkam,Naturals Salon,"2nd floor, No: 637/2, Old Mamallapuram Rd, above Nilgiris, opposite Hindustan Engineering College, Kanchipuram, Padur, Tamil Nadu 603103, India",12.8039416,80.22361579999999,4.5,1693,ChIJTxjUBoNQUjoRcJGk9IRo_eA,https://www.google.com/maps/place/?q=place_id:ChIJTxjUBoNQUjoRcJGk9IRo_eA,Old Mahabalipuram Road Karapakkam Naturals Salon
241,LOC_2,Old Washermanpet,Naturals Unisex Hair And Style Salon,"No. 125, Mannarsamy Koil St, Mottai Thottam, Royapuram, Chennai, Tamil Nadu 600013, India",13.1095095,80.2915654,4.6,874,ChIJjUiDEWlvUjoR9bZBYnkO1O4,https://www.google.com/maps/place/?q=place_id:ChIJjUiDEWlvUjoR9bZBYnkO1O4,Old Washermanpet Naturals Unisex Hair And Style Salon
243,LOC_2,Pallikaranai,Naturals,"VGP Rajesh Nagar Park, No.8, Velachery Rd, Narayanapuram, Pallikaranai, Chennai, Tamil Nadu 600100, India",12.9464694,80.2084642,3.6,98,ChIJhbOICDdeUjoRTKDdJNSdE-U,https://www.google.com/maps/place/?q=place_id:ChIJhbOICDdeUjoRTKDdJNSdE-U,Pallikaranai Naturals
261,LOC_4,Perungudi 2,Naturals Salon,"1st Flr, Jeeva Cplx, No 581/A, 200 Feet Radial Rd, near 200 Feet Radial Road, Vinayaganagar, MCN Nagar Extension, Thoraipakkam, Chennai, Tamil Nadu 600096, India",12.9497189,80.23456350000001,4.0,945,ChIJN7i-LAddUjoRFhuyFqdLBNQ,https://www.google.com/maps/place/?q=place_id:ChIJN7i-LAddUjoRFhuyFqdLBNQ,Perungudi 2 Naturals Salon
262,LOC_1,Poonamallee,Naturals Salon & Spa Poonamallee,"35 Trunk road, Poonamallee, Chennai, Tamil Nadu 600056, India",13.0502767,80.0916827,4.1,519,ChIJr0N25HKKUjoRUOycZC_YKkQ,https://www.google.com/maps/place/?q=place_id:ChIJr0N25HKKUjoRUOycZC_YKkQ,Poonamallee Naturals Salon & Spa Poonamallee
266,LOC_5,Poonamallee,Naturals Salon,"No 156, Niranjan Square, Mount Poonamallee Rd, Lakshmi Nagar, Porur, Chennai, Tamil Nadu 600116, India",13.0334705,80.1616523,4.7,952,ChIJ222z60lhUjoR5mjtxNVXboo,https://www.google.com/maps/place/?q=place_id:ChIJ222z60lhUjoR5mjtxNVXboo,Poonamallee Naturals Salon
270,LOC_1,Pudupakkam,Naturals Salon,"1st Floor, Shop No 1, Plot No 14, M.R Radha Rd, above HDFC Bank, Pudupakkam, Chennai, Tamil Nadu 603103, India",12.821405,80.20391339999999,4.9,192,ChIJP4Mohb1bUjoRoRshJPRqc4g,https://www.google.com/maps/place/?q=place_id:ChIJP4Mohb1bUjoRoRshJPRqc4g,Pudupakkam Naturals Salon
271,LOC_2,Pudupakkam,Naturals Salon,"No 16/33, KNR Building, Pycrofts Rd, near Triplicane, Bharathi Salai, Narayana Krishnaraja Puram, Triplicane, Chennai, Tamil Nadu 600005, India",13.0579474,80.2774512,4.3,827,ChIJZdY93Z9oUjoR2eL4Sj39ceI,https://www.google.com/maps/place/?q=place_id:ChIJZdY93Z9oUjoR2eL4Sj39ceI,Pudupakkam Naturals Salon
274,LOC_5,Pudupakkam,Naturals Salon,"phase 2, Spencer Plaza Mall, No F37A, 1st Floor, opposite Zudio Show Room, Anna Salai, Triplicane, Chennai, Tamil Nadu 600002, India",13.0614002,80.2611146,4.4,212,ChIJIR7Fkg5nUjoR6YD26Sw1RkM,https://www.google.com/maps/place/?q=place_id:ChIJIR7Fkg5nUjoR6YD26Sw1RkM,Pudupakkam Naturals Salon
294,LOC_9,Rajajipuram,Naturals Salon,"No 3, Shiva Vishnu, Koil St, opp. Shree Niketan Matriculation School, Rajajipuram, Tiruvallur, Tamil Nadu 602001, India",13.119172,79.908624,4.6,794,ChIJQe7L3XuRUjoRhDxO-KCDVY8,https://www.google.com/maps/place/?q=place_id:ChIJQe7L3XuRUjoRhDxO-KCDVY8,Rajajipuram Naturals Salon
297,LOC_1,Ramapuram,Naturals Salon,"Shop No 5 & 5b, Valluvar Salai Mgr Garden, opposite Home Finders Street, Apartments, Ramapuram, Kanchipuram, Tamil Nadu 600089, India",13.0251157,80.1829084,4.7,2670,ChIJhWfFztNgUjoRJCBCJGYXinw,https://www.google.com/maps/place/?q=place_id:ChIJhWfFztNgUjoRJCBCJGYXinw,Ramapuram Naturals Salon
299,LOC_2,Red crossroad Egmore,Naturals Salon & Spa Chetpet,"73, CASA Major Road Sulaiman Zackria Avenue, Egmore, near Sulaiman Zackria Avenue, Chetpet, Chennai, Tamil Nadu 600008, India",13.0721299,80.2523339,4.5,1119,ChIJw6eEqcNnUjoR_b_qbSPo0G4,https://www.google.com/maps/place/?q=place_id:ChIJw6eEqcNnUjoR_b_qbSPo0G4,Red crossroad Egmore Naturals Salon & Spa Chetpet
302,LOC_1,Saidapet,"Naturals Salon & Spa , Saidapet","Seshachalam Street, Periyapet, Saidapet, Chennai, Tamil Nadu 600015, India",13.0237429,80.22637610000001,4.8,2146,ChIJdZIG_wVnUjoRPMLG0KojMZ4,https://www.google.com/maps/place/?q=place_id:ChIJdZIG_wVnUjoRPMLG0KojMZ4,"Saidapet Naturals Salon & Spa , Saidapet"
303,LOC_1,Saligramam,Naturals Signature Salon,"Raymonds Shop, AVICHI HIGHER SECONDARY SCHOOL, No.87, Arcot Rd, AVM Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0475892,80.1964168,4.8,2765,ChIJodImr89mUjoRSoZ_fAJu18I,https://www.google.com/maps/place/?q=place_id:ChIJodImr89mUjoRSoZ_fAJu18I,Saligramam Naturals Signature Salon
304,LOC_2,Saligramam,NATURALS Salon And Spa Vadapalani,"first floor, A NO:13/51, Arunachalam Rd, opp. prasad lab, Mathiazhagan Nagar, Shanthi Nagar, Saligramam, Chennai, Tamil Nadu 600093, India",13.0554618,80.20397299999999,4.4,1072,ChIJj8dkSsdmUjoRbc_8MLvAjF8,https://www.google.com/maps/place/?q=place_id:ChIJj8dkSsdmUjoRbc_8MLvAjF8,Saligramam NATURALS Salon And Spa Vadapalani
308,LOC_1,Semmancheri,Naturals Salon,"1st Flr, Plot No 10, DLF Garden City Rd, Semmancheri, Balaji Nagar, Semmancheri, Thazhambur, Chennai, Tamil Nadu 600130, India",12.8730153,80.2071745,4.9,556,ChIJ7Q9oF65bUjoROux3YqvNt6c,https://www.google.com/maps/place/?q=place_id:ChIJ7Q9oF65bUjoROux3YqvNt6c,Semmancheri Naturals Salon
312,LOC_1,Sholinganallur,Naturals Unisex Salon Sholinganallur,"2A, Elcot Ave, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.8969427,80.2269788,4.4,2276,ChIJPeVfv4dbUjoRuuquO98y1PQ,https://www.google.com/maps/place/?q=place_id:ChIJPeVfv4dbUjoRuuquO98y1PQ,Sholinganallur Naturals Unisex Salon Sholinganallur
313,LOC_2,Sholinganallur,Naturals Unisex Salon ECR Link Road,"Plot No. C, Kothari Avenue, Kalaignar Karunanidhi Salai, KTK Town, Sholinganallur, Chennai, Tamil Nadu 600119, India",12.8994235,80.2356697,4.7,1176,ChIJCbLW5wxdUjoRSkTBDc9Qtsw,https://www.google.com/maps/place/?q=place_id:ChIJCbLW5wxdUjoRSkTBDc9Qtsw,Sholinganallur Naturals Unisex Salon ECR Link Road
336,LOC_1,"South Red hills Road,Villivakkam",Naturals Salon,"No 83/30, Ground Floor South Redhills Road, Subway, near Villivakkam, Villivakkam, Tamil Nadu 600049, India",13.10835,80.2059646,4.7,1046,ChIJK33vY2lkUjoRMI15t2YLnJ4,https://www.google.com/maps/place/?q=place_id:ChIJK33vY2lkUjoRMI15t2YLnJ4,"South Red hills Road,Villivakkam Naturals Salon"
341,LOC_6,"South Red hills Road,Villivakkam",Naturals Salon,"Shop No 120, Ground Floor, Near Reliance Fresh, Madras Thiruvallur High Rd, Villivakkam, Chennai, Tamil Nadu 600049, India",13.102398,80.2102846,4.7,1027,ChIJp2kx-T9kUjoRHALcSvusdOc,https://www.google.com/maps/place/?q=place_id:ChIJp2kx-T9kUjoRHALcSvusdOc,"South Red hills Road,Villivakkam Naturals Salon"
358,LOC_1,Sterling road,Naturals signature Salon,"5/4, Sterling Ave, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.0632463,80.2361693,4.5,638,ChIJSU16YWFmUjoREYLdV3NUjkc,https://www.google.com/maps/place/?q=place_id:ChIJSU16YWFmUjoREYLdV3NUjkc,Sterling road Naturals signature Salon
359,LOC_1,"T.Nagar, Boag Road",Naturals Salon,"27, S Boag Rd, next to SBI, JJ Nagar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0376194,80.24313049999999,4.7,1708,ChIJW0LWglJmUjoRptyyALN3d1k,https://www.google.com/maps/place/?q=place_id:ChIJW0LWglJmUjoRptyyALN3d1k,"T.Nagar, Boag Road Naturals Salon"
360,LOC_2,"T.Nagar, Boag Road",Naturals Signature Salon,"29, Dr Nair Rd, above Federal Bank, Pondy Bazaar, T. Nagar, Chennai, Tamil Nadu 600017, India",13.0425811,80.2409689,4.8,2416,ChIJl2F1WxlnUjoRXue7f6nB7h4,https://www.google.com/maps/place/?q=place_id:ChIJl2F1WxlnUjoRXue7f6nB7h4,"T.Nagar, Boag Road Naturals Signature Salon"
373,LOC_1,Thiruporur,Naturals Salon and Spa Thiruporur,"First Floor, No.2 ,West, N Mada St, Thiruporur, Tamil Nadu 603110, India",12.7265509,80.18816290000001,4.7,344,ChIJ4UMIKgpRUjoRnbFM9Z3jFx8,https://www.google.com/maps/place/?q=place_id:ChIJ4UMIKgpRUjoRnbFM9Z3jFx8,Thiruporur Naturals Salon and Spa Thiruporur
374,LOC_1,Thiruvanmiyur,Naturals Salon,"E Mada St, Lalitha Nagar, Thiruvanmiyur, Chennai, Tamil Nadu 600041, India",12.9858366,80.26208659999999,4.7,2307,ChIJdcnEb1ldUjoRDiwQM4oAPEU,https://www.google.com/maps/place/?q=place_id:ChIJdcnEb1ldUjoRDiwQM4oAPEU,Thiruvanmiyur Naturals Salon
375,LOC_1,Thiruverkadu,Naturals Thiruverkadu,"No: 85 1st Floor, 4th Street, Thirumalai St, Balaji Nagar, Thiruverkadu, Chennai, Tamil Nadu 600077, India",13.0680103,80.1282791,4.1,293,ChIJAwAA8I5hUjoRe9zdnRu4hE4,https://www.google.com/maps/place/?q=place_id:ChIJAwAA8I5hUjoRe9zdnRu4hE4,Thiruverkadu Naturals Thiruverkadu
380,LOC_1,Tiruvottiyur,Naturals Salon,"Bus Stop, 879, Thiruvottiyur High Rd, Theradi, Rajakadai, Tiruvottiyur, Tiruvallur, Tamil Nadu 600019, India",13.1600207,80.3025406,4.6,1210,ChIJu08uvNxvUjoRnU8vgmdp4qc,https://www.google.com/maps/place/?q=place_id:ChIJu08uvNxvUjoRnU8vgmdp4qc,Tiruvottiyur Naturals Salon
386,LOC_1,Valasaravakkam,Naturals,"RK Complex, Arcot Rd, Signal, Valasaravakkam, Chennai, Tamil Nadu 600087, India",13.0405872,80.17157279999999,4.3,296,ChIJVVWRbyRhUjoR9BVKFq8Qwrc,https://www.google.com/maps/place/?q=place_id:ChIJVVWRbyRhUjoR9BVKFq8Qwrc,Valasaravakkam Naturals
387,LOC_2,Valasaravakkam,Naturals Salon,"1st Floor, No 1, near Kesavarthini, Janaki Nagar, Alwartirunagar, Valasaravakkam, Chennai, Tamil Nadu 600087, India",13.0422957,80.1811036,4.4,555,ChIJJfJfYy5hUjoRccDlMLi0d3I,https://www.google.com/maps/place/?q=place_id:ChIJJfJfYy5hUjoRccDlMLi0d3I,Valasaravakkam Naturals Salon
388,LOC_3,Valasaravakkam,Naturals Signature Salon,"New No 96, Old 139, Arcot Rd, above Federal Bank, East Kamakoti Nagar, Valasaravakkam, Chennai, Tamil Nadu 600087, India",13.0417011,80.17467119999999,4.8,690,ChIJVTkIp_BhUjoRk6rtnXy3AWU,https://www.google.com/maps/place/?q=place_id:ChIJVTkIp_BhUjoRk6rtnXy3AWU,Valasaravakkam Naturals Signature Salon
401,LOC_1,Valluvarkottam,Naturals Salon,"No: 167, 2nd Floor, Yesde House, Valluvar Kottam High Rd, Ponnangipuram, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",13.055884,80.242533,4.8,1176,ChIJhz7w1dpnUjoR0n8CdZ2GIEs,https://www.google.com/maps/place/?q=place_id:ChIJhz7w1dpnUjoR0n8CdZ2GIEs,Valluvarkottam Naturals Salon
422,LOC_7,"Velacherry, Phoenix Marketcity",Envi Salon and Spa - Phoenix Marketcity Chennai,"G40A, Lower Ground Floor, Phoenix Market City, Mall, Velachery Bypass Rd, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042, India",12.9908702,80.21677059999999,4.3,504,ChIJxe5tzJ1nUjoRXrjxo1lUmMQ,https://www.google.com/maps/place/?q=place_id:ChIJxe5tzJ1nUjoRXrjxo1lUmMQ,"Velacherry, Phoenix Marketcity Envi Salon and Spa - Phoenix Marketcity Chennai"
452,LOC_1,Vettuvankeni,Naturals Salon,"1st Floor, 3/192A, East Coast Rd, opposite Church, Mahatma Gandhi Nagar, Vettuvankeni, Chennai, Tamil Nadu 600115, India",12.9388093,80.2526082,4.9,566,ChIJHXQ-vnRdUjoRQHyiWkGAa3U,https://www.google.com/maps/place/?q=place_id:ChIJHXQ-vnRdUjoRQHyiWkGAa3U,Vettuvankeni Naturals Salon
459,LOC_1,West Mambalam,Naturals Salon,"New Door No.88, Old Door No.45, 46 & 46/1 Navins, Brindavan St, West Mambalam, Chennai, Tamil Nadu 600033, India",13.0423371,80.2246629,4.3,480,ChIJUUOJu_tmUjoRL7BsVmdNZnw,https://www.google.com/maps/place/?q=place_id:ChIJUUOJu_tmUjoRL7BsVmdNZnw,West Mambalam Naturals Salon
